No Target Detected at x: 3 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 47.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 49.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 51.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 53.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 55.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 55.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 53.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 51.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 49.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 47.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 45.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 39.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 37.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 35.0 cm, y: -28.0 cm, z: 0.0 cm
x: 31.324101297704225 cm, y: -32.60449384185095 cm, z: 8.0 cm, a: 31.87491740247045 cm
x: 31.0 cm, y: -32.9 cm, z: 8.0 cm, a: 36.953616610916114 cm
x: 28.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 39.86109530671997 cm
x: 26.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 40.062371498460664 cm
x: 24.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 41.03880694200616 cm
x: 22.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 42.24916117509095 cm
x: 20.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 43.20590740969867 cm
x: 18.14912392943204 cm, y: -32.82555798975982 cm, z: 8.0 cm, a: 43.638719243429684 cm
x: 15.324101297704223 cm, y: -32.60449384185095 cm, z: 8.0 cm, a: 48.410901714656454 cm
No Target Detected at x: 15.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -28.0 cm, z: 0.0 cm
x: 11.0 cm, y: -28.0 cm, z: 8.0 cm, a: 88.13206740207946 cm
No Target Detected at x: 9.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -28.0 cm, z: 0.0 cm
No Target Detected at x: 3.0 cm, y: -28.0 cm, z: 0.0 cm
